2 | 01. 변의 길이에 따라 삼각형 분류하기           | r1 | t0L1       | 이등변삼각형은 어떤 삼각형이야?
2 | 01. 변의 길이에 따라 삼각형 분류하기           | r1 | t0L2       | 정삼각형은 어떤 삼각형이야?
2 | 01. 변의 길이에 따라 삼각형 분류하기           | r2 | t0H2       | 정삼각형도 이등변삼각형이라고 할 수 있어. 왜 그런지 말해 봐.
2 | 01. 변의 길이에 따라 삼각형 분류하기           | r2 | qexample   | 두 변만 길이가 같은 이등변삼각형의 세 변의 길이를 네가 정해서 말해 봐.
2 | 01. 변의 길이에 따라 삼각형 분류하기           | r1 | qa22e4211  | 세 변의 길이의 합이 27 cm인 정삼각형이 있어. 한 변의 길이는 몇 cm야? 어떻게 구했는지 말해 봐.
2 | 01. 변의 길이에 따라 삼각형 분류하기           | r3 | L1         | 이등변삼각형과 정삼각형은 각각 어떤 삼각형이야? 변의 길이로 말해 봐.
2 | 01. 변의 길이에 따라 삼각형 분류하기           | r3 | L2         | 정삼각형은 이등변삼각형이라고 할 수 있어? 그럼 이등변삼각형은 모두 정삼각형이야? 둘 다 말해 봐.
2 | 01. 변의 길이에 따라 삼각형 분류하기           | r3 | L3         | 길이가 같은 두 변이 각각 10 cm이고 세 변의 길이의 합이 50 cm인 이등변삼각형이 있어. 나머지 한 변의 길이를 어떻게 구하는지 말해 봐.
2 | 02. 이등변삼각형의 성질                   | r1 | t0L1       | 이등변삼각형에서 크기가 같은 두 각은 어디에 있어?
2 | 02. 이등변삼각형의 성질                   | r1 | t0H1       | 이등변삼각형 모양의 종이를 반으로 접어서 두 각의 크기가 같다는 것을 어떻게 확인해?
2 | 02. 이등변삼각형의 성질                   | r2 | t0H2       | 이등변삼각형에서 크기가 같은 두 각 중 하나가 40°야. 나머지 한 각을 구하는 방법을 말해 봐.
2 | 02. 이등변삼각형의 성질                   | r2 | qcondition | 이등변삼각형에서 길이가 같은 두 변 사이의 각이 80°야. 나머지 두 각은 어떻게 구해?
2 | 02. 이등변삼각형의 성질                   | r3 | L1         | 이등변삼각형은 각에 대해 어떤 성질이 있어? 어느 각끼리 같은지도 말해 봐.
2 | 02. 이등변삼각형의 성질                   | r3 | L2         | 이등변삼각형 모양의 종이가 있어. 두 각의 크기가 같다는 것을 접어서 어떻게 확인하는지 말해 봐.
2 | 02. 이등변삼각형의 성질                   | r3 | L3         | 이등변삼각형에서 크기가 같은 두 각 중 하나가 25°야. 나머지 한 각의 크기를 구하려면 어떤 차례로 생각해야 돼?
2 | 03. 정삼각형의 성질                     | r1 | t0L1       | 정삼각형의 세 각의 크기는 어때?
2 | 03. 정삼각형의 성질                     | r1 | t0L2       | 정삼각형의 한 각은 몇 도야? 어떻게 알 수 있어?
2 | 03. 정삼각형의 성질                     | r2 | qerror     | 친구가 큰 정삼각형은 한 각이 90°쯤 될 거라고 했어. 뭐가 잘못됐는지 말해 봐.
2 | 03. 정삼각형의 성질                     | r2 | qa22e4231  | 자와 컴퍼스로 정삼각형을 그리는 방법을 얘기해 줘.
2 | 03. 정삼각형의 성질                     | r2 | qa22e4232  | 한 변이 7 cm인 정삼각형 2개를 겹치지 않게 이어 붙여 사각형을 만들었어. 만든 사각형의 네 변의 길이의 합은 몇 cm야? 어떻게 구했는지 말해 봐.
2 | 03. 정삼각형의 성질                     | r3 | L1         | 정삼각형의 세 각은 어떤 성질이 있어? 한 각의 크기는 어떻게 알 수 있는지도 말해 봐.
