## 1.  01. 분모가 같은 (분수)÷(분수)(1)·나누어떨어지는 경우
  t0L1 low | ① 4/5 ÷ 1/5처럼 (분수)÷(단위분수)는 무엇을 세어 구할까? (몇 번 덜어 낼 수 있는지)
  t0L2 low | ② 분모가 같은 (분수)÷(분수)는 무엇끼리 나누어 계산할까?
  t0H1 high | ① [개념] 6/7 ÷ 3/7 = 6÷3 = 2인 이유를, 6/7과 3/7이 각각 1/7의 몇 개인지로 설명해 봐.
  t0H2 high | ② [크기 비교] 8/9 ÷ 1/9과 8/9 ÷ 2/9 중 어느 몫이 더 큰지, 계산하지 않고 이유로 말해 줘.
  qrecall reca | 8/9 ÷ 4/9는 얼마인지 말해 봐.
  qreason reas | 분모가 같은 (분수)÷(분수)에서는 왜 분자끼리만 나누면 될까?
  qexample exam | 분모가 같은 (분수)÷(분수)를 네가 직접 만들어서 계산해 봐.
  qerror erro | 친구가 6/7÷2/7을 계산하면서 분모끼리도 7÷7=1로 나눠서 답이 3/1이라고 했어. 어디가 틀렸을까?
## 1.  02. 분모가 같은 (분수)÷(분수)(2)·나누어떨어지지 않는 경우
  t0L1 low | ① 5/8 ÷ 2/8처럼 분자끼리 나누어떨어지지 않을 때 몫은 어떤 수로 나타낼까? (분수)
  t0L2 low | ② 5/8은 1/8이 몇 개이고, 2/8은 1/8이 몇 개일까?
  t0H1 high | ① [개념] 5/8 ÷ 2/8 = 5÷2 = 5/2 = 2½ 로 계산하는 과정을 설명해 봐.
  t0H2 high | ② [서술형] '5/8 안에 2/8이 2번 들어가고 반이 남는다'를 나눗셈 결과 2½과 연결해서 말해 줘.
  qrecall reca | 9/11 ÷ 2/11은 얼마인지 말해 봐.
  qreason reas | 분모가 같은 (분수)÷(분수)에서 분자끼리 나누어떨어지지 않을 때, 왜 몫을 분수로 나타낼 수 있을까?
  qexample exam | 분모가 같고 나누어떨어지지 않는 (분수)÷(분수)를 직접 만들어서 계산해 봐.
  qerror erro | 친구가 7/9÷2/9를 계산하면서 7÷2=3이라고만 답했어. 어디가 틀렸을까?
## 1.  03. 분모가 다른 (분수)÷(분수)
  t0L1 low | ① 분모가 다른 분수끼리는 분자끼리 바로 나눌 수 있을까, 없을까?
  t0L2 low | ② 분모가 다른 (분수)÷(분수)는 먼저 무엇을 같게 만들까? (통분)
  t0H1 high | ① [개념] 2/3 ÷ 2/9를 통분하여 6/9 ÷ 2/9 = 6÷2 = 3으로 계산하는 과정을 설명해 봐.
  t0H2 high | ② [크기 비교] 여러 개의 (분수)÷(분수)의 몫을 크기 순서대로 늘어놓으려면 어떻게 하면 좋을지 말해 줘.
  qrecall reca | 3/4 ÷ 1/6은 얼마인지 통분해서 말해 봐.
  qreason reas | 분모가 다른 (분수)÷(분수)는 왜 통분부터 해야 할까?
